Epno,Brand,Male,Female,Location,Idea,Sector,Deal,Amount_Invested_lakhs,Amout_Asked,Debt_Invested,Debt_Asked,Equity_Taken%,Equity_Asked%,Avg_age,Team_members,Ashneer_Amount_Invested,Ashneer_Equity_Taken%,Namita_Amount_Invested,Namita_Equity_Taken%,Anupam_Amount_Invested,Anupam_Equity_Taken%,Vineeta_Amount_Invested,Vineeta_Equity_Taken%,Aman_Amount_Invested,Aman_Equity_Taken%,Peyush_Amount_Invested,Peyush_Equity_Taken%,Ghazal_Amount_Invested,Ghazal_Equity_Taken%,Total_investors,Partners,,,,,,,,,,
4,JhaJi Achaar,0.00,2.00,Darbhanga,Pickle,Food,No Deal,0.00,50.00,0.00,0.00,0.00,10.00,45-50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,Pey,11,11,8,3,8,7,3
4,Bummer,1.00,0.00,Ahemdabad,Underwear,Clothes,?75 lakhs for 7.5% equity,75.00,75.00,0.00,0.00,7.50,4.00,20-25,1.00,0.00,0.00,37.50,3.75,0.00,0.00,0.00,0.00,37.50,3.75,0.00,0.00,0.00,0.00,2.00,Ama-Nam,0,,Vin,2,5,3,4,4,3,1
5,Revamp Moto,3.00,0.00,Nashik,E-Bike,Automobile,?1 crore for 1.5% equity,100.00,100.00,0.00,0.00,1.50,1.00,25-30,3.00,0.00,0.00,0.00,0.00,50.00,0.75,0.00,0.00,50.00,0.75,0.00,0.00,0.00,0.00,2.00,Ama-Anu,0,,,,,,,,,
5,Hungry Heads,2.00,0.00,Mumbai,Restaurant serving 80 types of Maggi,Food,No Deal,0.00,50.00,0.00,0.00,0.00,5.00,35-40,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
5,Shrawani Engineers,2.00,0.00,Pune,Belly Button Shaper,Lifestyle,No Deal,0.00,10.00,0.00,0.00,0.00,20.00,35-40,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
6,Skippi Pops,1.00,1.00,Hyderabad,Ice-Pops,Food,?1 crore for 15% equity,100.00,45.00,0.00,0.00,15.00,5.00,35-40,2.00,20.00,3.00,20.00,3.00,20.00,3.00,20.00,3.00,20.00,3.00,0.00,0.00,0.00,0.00,5.00,Ama-Anu-Ash-Nam-Vin,0,,,,,,,,,
6,Menstrupedia,1.00,1.00,Ahemdabad,Menstrual Awareness Comic,Health,?50 lakhs for 20% equity,50.00,50.00,0.00,0.00,20.00,10.00,35-40,2.00,0.00,0.00,50.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,Nam,0,,,,,,,,,
6,Hecolll,0.00,1.00,Hyderabad,Pollution Resistant Fabric,Clothes,No Deal,0.00,100.00,0.00,0.00,0.00,1.00,35-40,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
7,Raising Superstars,1.00,1.00,Mumbai,Child Development App,Lifestyle,?1 crore for 4% equity,100.00,100.00,0.00,0.00,4.00,2.00,35-40,2.00,50.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,2.00,0.00,0.00,0.00,0.00,2.00,Ama-Ash,0,,,,,,,,,
7,Torch-it,1.00,0.00,Ahemdabad,Gadgets for visually impaired people,Health,No Deal,0.00,75.00,0.00,0.00,0.00,1.00,30-35,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
7,La Kheer Deli,1.00,2.00,Pune,Kheer in variety of flavors,Food,No Deal,0.00,50.00,0.00,0.00,0.00,7.50,35-40,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
8,Beyond Snack,1.00,0.00,Kerela,Kerala Banana Chips,Food,?50 lakhs for 2.5% equity,50.00,50.00,0.00,0.00,2.50,2.50,30-35,1.00,25.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,25.00,1.25,0.00,0.00,0.00,0.00,2.00,Ama-Ash,0,,,,,,,,,
8,Vivalyf Innovations- Easy Life,1.00,1.00,Hyderabad,Prickless Diabetes Testing Machine,Health,?56 lakhs for 33.33% equity,56.00,56.00,0.00,0.00,33.33,7.50,20-25,1.00,0.00,0.00,0.00,0.00,28.00,16.66,0.00,0.00,0.00,0.00,28.00,16.66,0.00,0.00,2.00,Anu-Pey,0,,,,,,,,,
8,Motion Breeze,3.00,0.00,Gujarat,Smart Electric Motorcycle,Automobile,?30 lakhs for 6% equity,30.00,30.00,0.00,0.00,6.00,3.00,25-30,3.00,30.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,Ash,0,,,,,,,,,
9,Altor,4.00,0.00,Kolkata,Smart Helmets,Automobile,?50 lakhs for 7% equity,50.00,50.00,0.00,0.00,7.00,5.00,25-30,4.00,0.00,0.00,25.00,3.50,0.00,0.00,0.00,0.00,25.00,3.50,0.00,0.00,0.00,0.00,2.00,Ama-Nam,0,,,,,,,,,
9,Ariro,1.00,1.00,Chennai,Wooden Toys,Lifestyle,?50 lakhs for 10% equity,50.00,50.00,0.00,0.00,10.00,2.50,35-40,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,5.00,25.00,5.00,0.00,0.00,2.00,Ama-Pey,0,,,,,,,,,
9,Kabira Handmade,1.00,1.00,Jaipur,Healthy Oils,Food,No Deal,0.00,100.00,0.00,0.00,0.00,5.00,35-40,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
10,Nuutjob,0.00,2.00,Ahemdabad,Male Intimate Hygiene,Health,?25 lakhs for 20% equity,25.00,25.00,0.00,0.00,20.00,5.00,20-25,2.00,0.00,0.00,8.30,6.60,0.00,0.00,0.00,0.00,8.30,6.60,8.30,6.60,0.00,0.00,3.00,Ama-Nam-Pey,0,,,,,,,,,
10,Meatyour,3.00,0.00,Pune,Eggs,Food,?30 lakhs for 20% equity,30.00,30.00,0.00,0.00,20.00,5.00,35-40,3.00,0.00,0.00,0.00,0.00,10.00,6.60,0.00,0.00,10.00,6.60,10.00,6.60,0.00,0.00,3.00,Ama-Anu-Pey,0,,,,,,,,,
10,EventBeep,2.00,1.00,Pune,Student Community App,Lifestyle,?30 lakhs for 3% equity,30.00,30.00,0.00,0.00,3.00,2.00,20-25,3.00,10.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00,10.00,1.00,0.00,0.00,3.00,Ama-Ash-Pey,0,,,,,,,,,
11,Gopal's 56,1.00,0.00,Delhi,Fiber Ice Cream,Food,No Deal,0.00,30000.00,0.00,0.00,0.00,25.00,30-35,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
11,ARRCOAT Surface Textures,3.00,0.00,Delhi,Wall Building,Lifestyle,?50 lakhs for 15% equity,50.00,50.00,0.00,0.00,15.00,5.00,35-40,3.00,0.00,0.00,0.00,0.00,50.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,Anu,0,,,,,,,,,
11,Farda,1.00,1.00,Nagpur,Customised Streetwear,Lifestyle,?30 lakhs for 20% equity,30.00,30.00,0.00,0.00,20.00,10.00,20-25,2.00,0.00,0.00,15.00,10.00,0.00,0.00,0.00,0.00,15.00,10.00,0.00,0.00,0.00,0.00,2.00,Ama-Nam,0,,,,,,,,,
12,Auli Lifestyle,0.00,1.00,Kolkata,Ayurvedic Products,Health,?75 lakhs for 15% equity,75.00,75.00,0.00,0.00,15.00,4.00,25-30,1.00,0.00,0.00,75.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,Nam,0,,,,,,,,,
12,SweeDesi,1.00,1.00,Pune,Indian Sweets,Food,No Deal,0.00,40.00,0.00,0.00,0.00,3.00,35-40,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
12,LOKA,1.00,1.00,Delhi,Metaverse App,Technology,?40 lakhs for 24% equity,40.00,40.00,0.00,0.00,24.00,5.00,20-25,1.00,0.00,0.00,0.00,0.00,13.30,8.00,0.00,0.00,13.30,8.00,13.30,8.00,0.00,0.00,3.00,Ama-Anu-Pey,0,,,,,,,,,
13,Annie,3.00,1.00,Bangalore,Braille Literary Device,Health,?1.05 crore at 3% equity,105.00,30.00,0.00,0.00,3.00,0.50,20-25,4.00,0.00,0.00,35.00,1.00,35.00,1.00,0.00,0.00,0.00,0.00,35.00,1.00,0.00,0.00,3.00,Anu-Nam-Pey,0,,,,,,,,,
13,Caragreen,0.00,2.00,Indore,Eco-Friendly boxes,Lifestyle,?50 lakhs for 20% equity,50.00,50.00,0.00,0.00,20.00,10.00,40-45,2.00,0.00,0.00,0.00,0.00,25.00,10.00,0.00,0.00,0.00,0.00,25.00,10.00,0.00,0.00,2.00,Anu-Pey,0,,,,,,,,,
13,The Yarn Bazaar,1.00,0.00,Mumbai,Yarn-Trading App,Clothes,?1 crore for 10% equity,100.00,50.00,0.00,0.00,10.00,2.00,30-35,1.00,25.00,2.50,0.00,0.00,25.00,2.50,0.00,0.00,25.00,2.50,25.00,2.50,0.00,0.00,4.00,Ama-Anu-Ash-Pey,0,,,,,,,,,
14,The Renal Project,2.00,0.00,Mumbai,Home Dialysis Treatment,Health,?1 crore at 6% equity,100.00,100.00,0.00,0.00,6.00,3.00,30-35,2.00,0.00,0.00,50.00,3.00,0.00,0.00,0.00,0.00,50.00,3.00,0.00,0.00,0.00,0.00,2.00,Ama-Nam,0,,,,,,,,,
14,Morikko Pure Foods,2.00,1.00,Valsad,Healthy Food Snacks,Food,No Deal,0.00,100.00,0.00,0.00,0.00,3.00,45-50,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
14,Good Good Piggy Bank,0.00,1.00,Delhi,Digital Piggy Bank,Lifestyle,No Deal,0.00,45.00,0.00,0.00,0.00,5.00,25-30,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
15,Hammer Lifestyle,1.00,0.00,Panipat,Smart Audio Products,Lifestyle,?1 crore for 40% equity,100.00,30.00,0.00,0.00,40.00,3.00,25-30,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,40.00,0.00,0.00,0.00,0.00,1.00,Ama,0,,,,,,,,,
15,PNT,2.00,0.00,Mumbai,Robotics and Automation Solutions,Technology,?25 lakhs for 25% equity and ?25 lakhs debt,25.00,50.00,25.00,0.00,25.00,4.00,20-25,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00,1.00,Pey,0,,,,,,,,,
16,Bamboo India,1.00,1.00,Pune,Bamboo Products,Lifestyle,?50 lakhs at 3.5% Equity and ?30 lakhs Debt,50.00,80.00,30.00,0.00,3.50,4.00,40-45,2.00,40.00,1.75,0.00,0.00,40.00,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,Anu-Ash,0,,,,,,,,,
16,Flying Furr,3.00,1.00,Delhi,Dog Hygiene,Food,No Deal,0.00,75.00,0.00,0.00,0.00,7.00,25-30,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
16,Beyond Water,1.00,1.00,Kolkata,Liquid Water Enhancer,Lifestyle,?75 lakhs for 15% Equity,75.00,75.00,0.00,0.00,15.00,4.00,30-35,2.00,0.00,0.00,37.50,7.50,0.00,0.00,0.00,0.00,37.50,7.50,0.00,0.00,0.00,0.00,2.00,Ama-Nam,0,,,,,,,,,
16,Let�s Try,1.00,3.00,Delhi,Healthy Snacks,Food,?45 lakhs for 12% Equity,45.00,45.00,0.00,0.00,12.00,2.00,45-50,4.00,0.00,0.00,0.00,0.00,22.50,6.00,0.00,0.00,22.50,6.00,0.00,0.00,0.00,0.00,2.00,Ama-Anu,0,,,,,,,,,
17,Find Your Kicks India,3.00,0.00,Ludhiana,Sneaker Resale,Lifestyle,?50 lakhs for 25% equity,50.00,50.00,0.00,0.00,25.00,10.00,20-25,3.00,10.00,5.00,10.00,5.00,10.00,5.00,0.00,0.00,10.00,5.00,10.00,5.00,0.00,0.00,5.00,Ama-Anu-Ash-Nam-Pey,0,,,,,,,,,
17,Aas Vidyalaya,1.00,1.00,Mumbai,EdTech App,Technology,?1.5 Crore for 15% Equity,150.00,150.00,0.00,0.00,15.00,3.00,50-55,2.00,50.00,3.00,50.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,3.00,0.00,0.00,3.00,Ash-Nam-Pey,0,,,,,,,,,
17,Outbox,1.00,1.00,Kolkata,Premium Suprise-Planning,Lifestyle,No Deal,0.00,50.00,0.00,0.00,0.00,5.00,30-35,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
17,RoadBounce,1.00,0.00,Pune,Pothole Detection Software and Data,Technology,?80 Lakhs for 20% Equity,80.00,80.00,0.00,0.00,20.00,10.00,45-50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,20.00,0.00,0.00,1.00,Pey,0,,,,,,,,,
18,Mommy�s Kitchen,2.00,1.00,Bangalore,Thin Crust Pizza,Food,No Deal,0.00,90.00,0.00,0.00,0.00,3.00,45-50,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
18,India Hemp and Co,0.00,1.00,Bangalore,Hemp Food Products,Food,No Deal,0.00,50.00,0.00,0.00,0.00,4.00,35-40,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
18,Otua,2.00,0.00,Gurgaon,Electric Auto Vehicle,Automobile,?1 lakh for 1%�equity and ?99 lakhs Debt,1.00,100.00,99.00,0.00,1.00,1.00,41-45,2.00,100.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,Ash,0,,,,,,,,,
18,Anthyesti,0.00,1.00,Kolkata,Funeral Service,Lifestyle,No Deal,0.00,50.00,0.00,0.00,0.00,2.50,30-35,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
19,Ethik,2.00,0.00,Bangalore,Leather-free Shoes,Lifestyle,No Deal,0.00,15.00,0.00,0.00,0.00,5.00,35-40,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
19,WeSTOCK,2.00,0.00,Kerela,Livestock health monitoring AI,Technology,?60 lakhs for 10% equity,50.00,50.00,0.00,0.00,10.00,5.00,35-40,2.00,12.50,2.50,12.50,2.50,0.00,0.00,0.00,0.00,12.50,2.50,12.50,2.50,0.00,0.00,4.00,Ama-Ash-Nam-Pey,0,,,,,,,,,
19,KetoIndia,1.00,1.00,Delhi,Customised Keto Diets for various medical issues,Health,No Deal,0.00,150.00,0.00,0.00,0.00,1.25,30-35,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
19,Magic lock,3.00,0.00,Unknown,LPG Cylinder lock,Lifestyle,No Deal,0.00,120.00,0.00,0.00,0.00,8.00,40-45,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
20,The State Plate,1.00,1.00,Bangalore,Delicacies,Food,?40 Lakhs for 3%equity and ?25 Lakhs Debt,40.00,65.00,25.00,0.00,3.00,2.00,20-25,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,3.00,0.00,0.00,1.00,Pey,0,,,,,,,,,
20,Bakarmax,1.00,0.00,Delhi,Comics & Animation,Lifestyle,No Deal,0.00,35.00,0.00,0.00,0.00,5.00,30-35,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
20,IN A CAN,2.00,0.00,Pune,Can Cocktails,Food,?1 Crore for 10�% equity,100.00,50.00,0.00,0.00,10.00,2.00,30-35,2.00,20.00,2.00,20.00,2.00,20.00,2.00,0.00,0.00,20.00,2.00,20.00,2.00,0.00,0.00,5.00,Ama-Anu-Ash-Nam-Pey,0,,,,,,,,,
21,Get a Whey,1.00,1.00,Mumbai,Sugar-Free Icecream,Food,?1 Crore for 15% equity,100.00,100.00,0.00,0.00,15.00,8.00,40-45,2.00,33.33,5.00,0.00,0.00,0.00,0.00,33.33,5.00,33.33,5.00,0.00,0.00,0.00,0.00,3.00,Ama-Ash-Pey,0,,,,,,,,,
21,Sid 07 Designs,1.00,0.00,Jammu,Inventions,Technology,?25 Lakhs for 75% equity & 22 lakhs Debt,25.00,47.00,22.00,0.00,75.00,10.00,25-30,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,75.00,0.00,0.00,1.00,Pey,0,,,,,,,,,
21,The Quirky Nari,0.00,1.00,Mathura,Customised Apparels,Lifestyle,?35 lakhs for 24% equity,35.00,35.00,0.00,0.00,24.00,5.00,25-30,1.00,0.00,0.00,0.00,0.00,17.50,12.00,17.50,12.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,Anu-Vin,0,,,,,,,,,
22,Poo de Cologne,0.00,1.00,Mumbai,Toilet Spray with Essential Oils,Lifestyle,No Deal,0.00,75.00,0.00,0.00,0.00,5.00,30-35,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
22,Moonshine Meads,2.00,0.00,Pune,Meads,Food,No Deal,0.00,80.00,0.00,0.00,0.00,0.50,40-45,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
22,Falhari,3.00,0.00,Gurgaon,Fresh Fruits,Food,No Deal,0.00,50.00,0.00,0.00,0.00,2.00,25-30,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
23,Namhya Foods,0.00,1.00,Jammu,Ayurvedic Enriched Food,Food,?50 lakhs for 10% Equity & ?50 lakhs Debt,50.00,100.00,50.00,0.00,10.00,5.00,25-30,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,10.00,0.00,0.00,0.00,0.00,1.00,Ama,0,,,,,,,,,
23,Urban Monkey,1.00,0.00,Mumbai,Streetwear,Lifestyle,No Deal,0.00,100.00,0.00,0.00,0.00,1.00,30-35,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
23,Guardian Gears,1.00,1.00,Secundarabad,Motorcycle Luggage,Automobile,No Deal,0.00,30.00,0.00,0.00,0.00,5.00,30-35,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
23,Modern Myth,1.00,1.00,Delhi,Bags,Lifestyle,No Deal,0.00,75.00,0.00,0.00,0.00,5.00,30-35,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
24,The Sass Bar,0.00,1.00,Mumbai,Gifts,Lifestyle,?50 lakhs for 35% Equity,50.00,40.00,0.00,0.00,35.00,8.00,30-35,1.00,0.00,0.00,0.00,0.00,25.00,17.50,0.00,0.00,0.00,0.00,0.00,0.00,25.00,17.50,2.00,Anu-Gha,0,,,,,,,,,
24,KG Agrotech,2.00,0.00,Malegaon,Agricultural Innovations,Technology,?10 lakhs for 40% Equity & ?20 lakhs Debt,10.00,30.00,20.00,0.00,40.00,10.00,25-30,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,40.00,0.00,0.00,1.00,Pey,0,,,,,,,,,
24,Nuskha Kitchen,1.00,1.00,Jaipur,Homemade Foods,Food,No Deal,0.00,20.00,0.00,0.00,0.00,10.00,35-40,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
25,PawsIndia,1.00,1.00,Bombay,Dog Products,Food,?50 lakhs for 15% Equity,50.00,50.00,0.00,0.00,15.00,4.00,25-30,2.00,0.00,0.00,0.00,0.00,50.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,Anu,0,,,,,,,,,
25,Sunfox Technologies,4.00,0.00,Dehradun,Portable ECG Device,Health,?1 crore for 6% Equity,100.00,100.00,0.00,0.00,6.00,2.00,30-35,4.00,0.00,0.00,20.00,1.20,20.00,1.20,20.00,1.20,0.00,0.00,20.00,1.20,20.00,1.20,5.00,Anu-Gha-Nam-Pey-Vin,1,,,,,,,,,
25,Alpino,4.00,0.00,Surat,Roasted Peanut Products,Food,No Deal,0.00,150.00,0.00,0.00,0.00,2.00,25-30,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
26,Isak Fragrances,0.00,1.00,Lucknow,Perfumes,Lifestyle,?50 lakhs for 50% Equity,50.00,50.00,0.00,0.00,50.00,8.00,30-35,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00,1.00,Pey,0,,,,,,,,,
26,Julaa Automation,3.00,0.00,Gujarat,Automatic Cradle,Technology,No Deal,0.00,50.00,0.00,0.00,0.00,10.00,30-35,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
26,Rare Planet,2.00,0.00,Kolkata,Handicrafts,Lifestyle,?65 lakhs for 3% Equity,65.00,65.00,0.00,0.00,3.00,1.00,30-35,2.00,0.00,0.00,65.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,Nam,0,,,,,,,,,
27,Theka Coffee,1.00,0.00,Gujarat,Coffee Products,food,No Deal,0.00,50.00,0.00,0.00,0.00,10.00,30-35,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
27,Aliste Technologies,6.00,0.00,Noida,Automation Solutions,Technology,No Deal,0.00,60.00,0.00,0.00,0.00,5.00,20-25,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
